frame,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
242,605.35,18.35,4.79,False,False,True
243,565.19,15.73,3.98,False,False,True
244,564.19,15.68,3.95,False,False,True
245,616.26,19.05,5.10,False,False,True
246,568.85,15.67,3.95,False,False,True
247,562.92,15.63,3.93,False,False,True
248,551.09,15.71,3.97,False,False,True
249,539.02,15.57,3.90,False,False,True
250,597.25,19.15,4.95,False,False,True
251,549.86,15.53,3.88,False,False,True
252,540.74,15.67,3.94,False,False,True
253,543.49,15.65,3.93,False,False,True
254,523.01,15.04,3.78,True,True,True
255,578.91,17.67,4.44,False,False,True
256,529.25,15.09,3.78,True,True,True
257,525.13,15.08,3.77,True,True,True
258,598.99,18.24,4.62,False,False,True
259,524.11,14.65,3.67,True,True,True
260,547.57,14.72,3.69,False,False,True
261,547.22,14.74,3.69,False,False,True
262,546.59,14.78,3.73,False,False,True
263,530.78,14.41,3.62,True,False,True
264,544.62,14.48,3.63,False,False,True
265,547.90,14.50,3.63,False,False,True
266,546.81,14.50,3.62,False,False,True
267,552.73,14.52,3.60,False,False,True
268,555.16,14.82,3.70,False,False,True
269,554.14,16.04,4.03,False,False,True
270,554.32,14.16,3.62,False,False,True
271,583.36,14.87,3.85,False,False,True
272,547.39,14.09,3.58,False,False,True
273,513.49,13.41,3.41,True,True,True
274,572.38,15.79,4.00,False,False,True
275,543.54,13.70,3.50,False,False,True
276,541.88,13.83,3.57,False,False,True
277,533.36,14.96,3.84,True,False,True
278,521.58,13.17,3.37,True,True,True
279,514.01,12.78,3.25,True,True,True
280,526.06,12.87,3.28,True,True,True
281,520.30,12.86,3.27,True,True,True
282,534.69,12.92,3.28,True,False,True
283,564.72,14.43,3.81,False,False,True
284,576.63,14.60,3.98,False,False,True
285,557.84,12.84,3.28,False,False,True
286,556.06,12.79,3.29,False,False,True
287,542.58,12.72,3.26,False,False,True
288,541.95,12.69,3.25,False,False,True
289,541.42,12.69,3.26,False,False,True
290,536.83,12.62,3.25,True,False,True
291,540.76,12.66,3.27,False,False,True
292,539.30,12.63,3.26,False,False,True
293,534.40,12.61,3.25,True,False,True
294,545.10,12.63,3.27,False,False,True
295,539.25,12.65,3.26,False,False,True
296,527.75,12.70,3.26,True,True,True
297,516.43,12.74,3.25,True,True,True
298,528.68,12.81,3.27,True,True,True
299,531.25,12.95,3.28,True,False,True
300,529.43,13.08,3.31,True,True,True
301,532.36,13.13,3.32,True,False,True
302,531.11,13.10,3.32,True,False,True
303,564.57,15.83,4.11,False,False,True
304,557.29,15.47,4.06,False,False,True
305,529.77,12.99,3.33,True,True,True
306,544.70,13.38,3.41,False,False,True
307,531.79,13.38,3.43,True,False,True
308,585.58,16.24,4.22,False,False,True
309,548.96,13.43,3.43,False,False,True
310,551.24,13.52,3.45,False,False,True
311,537.44,13.51,3.44,False,False,True
312,549.90,13.62,3.47,False,False,True
313,550.09,13.70,3.49,False,False,True
314,545.61,13.72,3.50,False,False,True
315,550.26,13.80,3.51,False,False,True
316,549.48,13.86,3.53,False,False,True
317,545.34,13.94,3.54,False,False,True
318,556.52,14.02,3.57,False,False,True
319,550.68,14.11,3.58,False,False,True
320,539.05,14.20,3.59,False,False,True
321,526.40,14.11,3.58,True,True,True
322,539.33,14.37,3.63,False,False,True
323,539.70,14.69,3.68,False,False,True
324,533.28,14.79,3.71,True,False,True
325,535.40,14.97,3.71,True,False,True
326,534.67,14.93,3.71,True,False,True
327,530.05,14.87,3.69,True,False,True
328,539.19,14.81,3.71,False,False,True
329,533.14,14.78,3.70,True,False,True
330,547.76,14.88,3.73,False,False,True
331,535.60,14.92,3.76,True,False,True
332,552.88,16.06,4.01,False,False,True
333,549.13,15.37,3.84,False,False,True
334,551.39,15.47,3.86,False,False,True
335,538.52,15.47,3.86,False,False,True
