frame,laplacian,tenengrad,fft,is_blurry
290,536.83,12.62,3.25,True
291,540.76,12.66,3.27,True
292,539.30,12.63,3.26,True
293,534.40,12.61,3.25,True
294,545.10,12.63,3.27,True
295,539.25,12.65,3.26,True
296,527.75,12.70,3.26,True
297,516.43,12.74,3.25,True
298,528.68,12.81,3.27,True
299,531.25,12.95,3.28,True
300,529.43,13.08,3.31,True
301,532.36,13.13,3.32,True
302,531.11,13.10,3.32,True
303,564.57,15.83,4.11,True
304,557.29,15.47,4.06,True
305,529.77,12.99,3.33,True
306,544.70,13.38,3.41,True
307,531.79,13.38,3.43,True
308,585.58,16.24,4.22,True
309,548.96,13.43,3.43,True
310,551.24,13.52,3.45,True
311,537.44,13.51,3.44,True
312,549.90,13.62,3.47,True
313,550.09,13.70,3.49,True
314,545.61,13.72,3.50,True
315,550.26,13.80,3.51,True
316,549.48,13.86,3.53,True
317,545.34,13.94,3.54,True
318,556.52,14.02,3.57,True
319,550.68,14.11,3.58,True
320,539.05,14.20,3.59,True
321,526.40,14.11,3.58,True
322,539.33,14.37,3.63,True
323,539.70,14.69,3.68,True
324,533.28,14.79,3.71,True
325,535.40,14.97,3.71,True
326,534.67,14.93,3.71,True
327,530.05,14.87,3.69,True
328,539.19,14.81,3.71,True
329,533.14,14.78,3.70,True
330,547.76,14.88,3.73,True
331,535.60,14.92,3.76,True
332,552.88,16.06,4.01,True
333,549.13,15.37,3.84,True
334,551.39,15.47,3.86,True
335,538.52,15.47,3.86,True
336,550.43,15.48,3.90,True
337,551.77,15.96,4.04,True
338,597.42,16.68,4.34,True
339,582.05,15.47,4.01,True
340,559.30,15.71,4.17,True
341,548.61,15.16,3.98,True
342,554.26,15.23,4.03,True
343,548.54,15.83,4.26,True
344,533.01,15.01,3.93,True
345,524.18,14.98,4.00,True
346,533.11,14.77,3.87,True
347,530.25,14.43,3.74,True
348,525.06,14.15,3.65,True
349,529.18,14.25,3.70,True
350,528.23,14.25,3.74,True
351,524.47,14.07,3.71,True
352,583.12,14.52,4.05,True
353,553.22,13.24,3.55,True
354,548.22,13.14,3.54,True
355,537.06,13.28,3.57,True
356,550.29,13.40,3.63,True
357,550.70,13.63,3.67,True
358,548.59,13.75,3.68,True
359,535.82,13.77,3.70,True
360,539.57,13.61,3.68,True
361,592.91,15.22,4.33,True
362,557.76,13.49,3.73,True
363,544.81,13.23,3.64,True
364,544.10,13.19,3.63,True
365,540.37,13.30,3.61,True
366,550.49,13.39,3.64,True
367,543.20,13.13,3.58,True
368,531.28,12.93,3.53,True
369,518.70,12.64,3.44,True
370,559.59,13.55,3.81,True
371,531.91,12.41,3.43,True
372,527.40,12.24,3.40,True
373,531.22,13.21,3.82,True
374,507.02,11.72,3.25,True
375,496.48,11.45,3.17,True
376,510.34,11.45,3.18,True
377,503.79,11.32,3.16,True
378,533.86,11.28,3.14,True
379,521.17,11.26,3.12,True
380,532.78,11.32,3.13,True
